 40952	35.59164 0.00961	40952 2459244.8812246	-23.059901	0.00176 0.00194 0.00087	1.39900
 49800	-13.82789 0.00831	49800 2459466.9778762	26.490993	-0.07777 -0.07037 -0.07830	1.89900
 50954	-11.33729 0.00817	50954 2459487.9479492	24.024074	-0.02351 -0.02079 -0.02358	1.61900
 51246	-7.45636 0.01928	51246 2459502.9160709	20.319288	-0.21377 -0.20164 -0.21090	1.54800
 51252	-7.26826 0.03348	51252 2459503.0526530	20.056578	-0.20616 -0.19399 -0.20375	1.14400
 51852	-6.09131 0.01087	51852 2459507.9076170	18.764927	-0.24670 -0.23403 -0.24379	1.51200
 51864	-5.83424 0.00823	51864 2459508.0575233	18.467185	-0.24586 -0.22734 -0.24140	1.14700
 52480	-5.46935 0.01018	52480 2459509.8824794	18.138292	-0.21938 -0.20220 -0.21673	1.66500
 52494	-5.20186 0.00854	52494 2459510.0527561	17.807326	-0.21927 -0.20936 -0.21426	1.14700
 53058	-3.72362 0.00939	53058 2459514.9129145	16.329037	-0.04850 -0.04493 -0.04738	1.37400
 53076	-3.34302 0.00843	53076 2459515.1112642	15.919851	-0.03036 -0.02711 -0.03027	1.27400
 53484	2.54545 0.00947	53484 2459530.8322767	9.986872	-0.12457 -0.11598 -0.12197	1.60500
 53498	2.85122 0.01459	53498 2459531.0075395	9.623672	-0.12145 -0.11384 -0.11956	1.15500
 55229	28.52790 0.00936	55229 2459588.7141355	-15.919708	-0.01904 -0.01885 -0.01825	1.35800
