bjd,rv,rv_err
2459244.884701762,14.738099000000002,0.01623
2459487.950952001,14.761804,0.01424
2459507.912044662,14.859827,0.01874
2459508.06196023,14.852825000000001,0.01405
2459509.887027196,14.897332,0.01895
2459510.057314052,14.837106,0.01487
2459514.917748312,14.771787,0.01701
2459515.116108679,14.791490999999999,0.01431
2459530.837803917,14.745032,0.0172
