RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
72.8892687,55.0526226,15.583,2.919,4.094,7.7914,18.7300,3.65,nan,nan,12.410,M3.9,nan,nan,1.506,nan,None
87.6732653,43.0809915,11.640,1.906,4.498,16.5191,18.8979,5.31,-2.83,9.18,15.066,M0.4,0.000309,0.15,1.259,0.142,Gaia DR2
46.4175013,56.0688641,5.817,1.208,3.291,13.5249,18.9231,2.35,-11.68,0.14,13.474,K3.0,0.000183,nan,1.171,nan,Gaia DR2
62.3664263,31.9180593,16.188,3.143,4.987,17.0436,18.9401,5.38,nan,nan,16.168,M4.5,nan,nan,1.053,nan,None
75.9491759,57.2440521,16.944,3.133,4.009,10.5634,19.5837,3.47,nan,nan,12.639,M4.4,nan,nan,0.965,nan,None
77.9852939,56.2552532,19.298,0.953,3.999,10.6927,19.6010,3.64,nan,nan,12.658,G9.1,nan,nan,0.995,nan,None
53.2407594,45.1730724,16.364,3.462,4.735,8.9720,19.6391,3.71,nan,nan,21.289,M5.2,nan,nan,1.073,nan,None
82.4036469,51.7694170,15.272,2.630,1.631,11.3000,20.1377,4.26,nan,nan,12.654,M3.3,nan,nan,1.173,nan,None
68.9390300,49.8112234,18.277,3.781,2.490,2.5824,20.2013,4.09,nan,nan,11.828,M5.8,nan,nan,0.881,nan,None
66.6943246,60.9931852,16.655,3.645,1.962,12.1997,20.7792,2.77,nan,nan,21.053,M5.6,nan,nan,1.005,nan,None
85.5960724,62.6206664,12.599,1.932,4.768,17.7689,21.2068,2.96,5.15,0.77,14.422,M0.4,0.000043,0.17,1.148,nan,Gaia DR2
48.6793315,33.9906349,18.571,3.944,2.768,19.2764,21.3395,4.22,nan,nan,16.251,M6.0,nan,nan,0.930,nan,None
47.0558099,63.8310777,13.830,2.829,4.656,17.9532,21.3489,1.69,nan,nan,14.460,M3.8,nan,0.29,1.246,nan,None
78.0480348,52.7642638,13.470,2.172,2.812,8.9661,21.3983,4.05,nan,nan,12.090,M1.5,0.000063,0.50,1.209,nan,None
90.4523492,61.3181286,14.614,2.780,2.912,18.8632,21.7672,3.17,nan,nan,14.868,M3.7,0.000117,0.37,1.190,0.042,None
71.4133081,43.3195268,18.908,0.834,2.093,6.9490,21.8590,4.86,nan,nan,11.826,G3.2,nan,nan,1.021,nan,None
94.1901471,54.6568606,16.369,3.171,4.172,18.6748,22.0128,4.02,nan,nan,14.550,M4.5,nan,nan,1.069,nan,None
92.5687708,61.9281913,9.382,1.092,4.565,20.0387,22.2026,3.09,-13.08,0.62,16.040,K2.0,nan,-0.01,6.900,nan,Gaia DR2
57.1689011,39.3826514,16.629,2.912,2.162,11.0757,22.2924,4.46,nan,nan,12.205,M3.9,nan,nan,0.994,nan,None
68.0720505,37.0432123,6.668,0.664,4.381,11.9504,22.2951,5.29,20.69,0.18,22.033,F6.8,0.002502,0.04,0.926,nan,Gaia DR2
71.9531204,57.2599836,9.496,1.350,2.711,9.3347,22.4310,3.36,nan,nan,22.762,K4.3,0.000176,0.99,1.106,nan,None
