# Filter Magnitude Uncertainty
2MASS_H 11.6040 0.0310
2MASS_J 12.2330 0.0230
2MASS_Ks 11.3310 0.0230
GaiaDR2v2_G 15.3314 0.0004
GaiaDR2v2_RP 14.0621 0.0011
GaiaDR2v2_BP 17.0653 0.0045
WISE_RSR_W1 11.1340 0.0230
WISE_RSR_W2 10.9840 0.0210
GALEX_NUV 21.7190 0.4700
TESS 13.9664 0.0073
