0.02,0.145
0.03,0.716
0.04,1.286
0.05,1.857
0.06,2.427
0.07,2.998
0.08,3.568
0.09,4.139
0.1,4.709
0.11,4.733
0.12,4.755
0.13,4.775
0.14,4.796
0.15,4.82
0.16,4.848
0.17,4.882
0.18,4.924
0.19,4.972
0.2,5.022
0.21,5.072
0.22,5.118
0.23,5.156
0.24,5.184
0.25,5.204
0.26,5.215
0.27,5.218
0.28,5.214
0.29,5.203
0.3,5.188
0.31,5.17
0.32,5.15
0.33,5.131
0.34,5.113
0.35,5.097
0.36,5.085
0.37,5.077
0.38,5.075
0.39,5.077
0.4,5.083
0.41,5.092
0.42,5.103
0.43,5.113
0.44,5.123
0.45,5.132
0.46,5.139
0.47,5.145
0.48,5.148
0.49,5.15
0.5,5.15
0.51,5.15
0.52,5.15
0.53,5.151
0.54,5.154
0.55,5.158
0.56,5.164
0.57,5.172
0.58,5.181
0.59,5.192
0.6,5.204
0.61,5.215
0.62,5.227
0.63,5.238
0.64,5.249
0.65,5.258
0.66,5.265
0.67,5.272
0.68,5.277
0.69,5.28
0.7,5.282
0.71,5.281
0.72,5.279
0.73,5.275
0.74,5.27
0.75,5.263
0.76,5.256
0.77,5.249
0.78,5.243
0.79,5.238
0.8,5.235
0.81,5.232
0.82,5.231
0.83,5.23
0.84,5.23
0.85,5.231
0.86,5.231
0.87,5.231
0.88,5.23
0.89,5.228
0.9,5.225
0.91,5.223
0.92,5.22
0.93,5.218
0.94,5.216
0.95,5.215
0.96,5.214
0.97,5.212
0.98,5.209
0.99,5.206
1.0,5.203
1.01,5.2
1.02,5.197
1.03,5.196
1.04,5.196
1.05,5.198
1.06,5.202
1.07,5.207
1.08,5.214
1.09,5.223
1.1,5.233
1.11,5.242
1.12,5.249
1.13,5.255
1.14,5.258
1.15,5.26
1.16,5.261
1.17,5.262
