0.03,0.226
0.04,0.771
0.05,1.315
0.06,1.86
0.07,2.405
0.08,2.949
0.09,3.494
0.1,4.039
0.11,4.078
0.12,4.116
0.13,4.153
0.14,4.191
0.15,4.231
0.16,4.273
0.17,4.318
0.18,4.367
0.19,4.42
0.2,4.472
0.21,4.521
0.22,4.563
0.23,4.594
0.24,4.615
0.25,4.629
0.26,4.637
0.27,4.642
0.28,4.648
0.29,4.656
0.3,4.665
0.31,4.676
0.32,4.689
0.33,4.703
0.34,4.719
0.35,4.736
0.36,4.753
0.37,4.771
0.38,4.788
0.39,4.804
0.4,4.818
0.41,4.831
0.42,4.841
0.43,4.848
0.44,4.852
0.45,4.854
0.46,4.854
0.47,4.853
0.48,4.852
0.49,4.85
0.5,4.848
0.51,4.846
0.52,4.844
0.53,4.844
0.54,4.843
0.55,4.844
0.56,4.845
0.57,4.846
0.58,4.849
0.59,4.852
0.6,4.855
0.61,4.859
0.62,4.863
0.63,4.867
0.64,4.871
0.65,4.874
0.66,4.877
0.67,4.877
0.68,4.875
0.69,4.871
0.7,4.865
0.71,4.857
0.72,4.848
0.73,4.837
0.74,4.827
0.75,4.816
0.76,4.807
0.77,4.799
0.78,4.795
0.79,4.793
0.8,4.795
0.81,4.799
0.82,4.807
0.83,4.817
0.84,4.829
0.85,4.844
0.86,4.861
0.87,4.879
0.88,4.898
0.89,4.917
0.9,4.936
0.91,4.953
0.92,4.967
0.93,4.977
0.94,4.984
0.95,4.986
0.96,4.985
0.97,4.981
0.98,4.974
0.99,4.964
1.0,4.954
1.01,4.943
1.02,4.934
1.03,4.926
1.04,4.921
1.05,4.919
1.06,4.918
1.07,4.918
1.08,4.92
1.09,4.922
1.1,4.926
1.11,4.931
1.12,4.937
1.13,4.944
1.14,4.953
1.15,4.962
1.16,4.972
1.17,4.981
