#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3503.9734	16.7968	7.2786	3496.6949	3520.7702
logg	0.4831	0.0985	0.0909	0.3922	0.5816
[Fe/H]	0.4085	0.0861	0.1612	0.2473	0.4946
dist	65.8083	1.7432	2.5996	63.2087	67.5515
rad	0.3005	0.0115	0.0200	0.2805	0.3120
Av	0.6953	0.1760	0.1619	0.5334	0.8713
grav_mass	0.0000	0.0000	0.0000	0.0000	0.0000
lum	0.0123	0.0010	0.0016	0.0106	0.0133
AD	0.0424	0.0024	0.0030	0.0394	0.0448
age	1.5375	8.9809	1.4298	0.1078	10.5184
iso_mass	0.2756	0.0191	0.0158	0.2598	0.2947
eep	264.1815	11.5038	41.4832	222.6983	275.6852
H_noise	0.3826	0.2590	0.1295	0.2531	0.6416
J_noise	0.1468	0.1909	0.0749	0.0719	0.3377
Ks_noise	0.3331	0.1761	0.1115	0.2216	0.5092
G_noise	0.0013	0.0038	0.0015	-0.0001	0.0051
RP_noise	0.0048	0.0165	0.0050	-0.0002	0.0213
BP_noise	0.0606	0.0412	0.0349	0.0257	0.1018
W1_noise	0.3148	0.1634	0.1274	0.1874	0.4781
W2_noise	0.1097	0.1698	0.0839	0.0258	0.2796
NUV_noise	1.2419	3.1633	1.1680	0.0739	4.4052
TESS_noise	0.0802	0.0572	0.0298	0.0504	0.1374
