#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3502.3203	15.7553	3.4784	3498.8419	3518.0756
logg	0.4850	0.0907	0.0907	0.3942	0.5757
[Fe/H]	0.4060	0.0844	0.1492	0.2568	0.4904
dist	65.7428	1.7334	2.3271	63.4157	67.4762
rad	0.3006	0.0108	0.0185	0.2822	0.3115
Av	0.6960	0.1564	0.1617	0.5343	0.8524
grav_mass	0.0000	0.0000	0.0000	0.0000	0.0000
lum	0.0123	0.0010	0.0015	0.0108	0.0133
AD	0.0424	0.0024	0.0028	0.0395	0.0447
age	1.5375	8.9809	1.4298	0.1078	13.422645572467346
iso_mas	0.2756	0.0191	0.0158	0.2354	0.3230904559151961
eep	264.1815	11.5038	41.4832	174.5917	278.47401522446165
H_noise	0.3859	0.2535	0.1197	0.2662	0.6393
J_noise	0.1531	0.1796	0.0736	0.0795	0.3327
Ks_noise	0.3315	0.1692	0.1015	0.2300	0.5007
G_noise	0.0015	0.0032	0.0015	0.0001	0.0047
RP_noise	0.0053	0.0151	0.0049	0.0004	0.0204
BP_noise	0.0613	0.0370	0.0341	0.0273	0.0984
W1_noise	0.3048	0.1629	0.1112	0.1936	0.4677
W2_noise	0.1100	0.1621	0.0811	0.0290	0.2722
NUV_noise	1.1859	2.9362	1.0363	0.1496	4.1222
TESS_noise	0.0791	0.0571	0.0262	0.0529	0.1361
