BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU),sky(ADU)
2459424.278663,0.96534,0.02505,1.5005,-0.99,0.16,4.15,11790.000000,1986
2459424.279369,1.00000,0.02548,1.4956,-0.27,-0.24,3.88,12371.000000,2002
2459424.280086,0.99391,0.02644,1.4907,0.38,0.86,4.02,11355.000000,2015
2459424.280792,0.97249,0.02674,1.4860,-0.02,0.18,4.27,11776.000000,2010
2459424.281510,0.99504,0.02524,1.4812,-0.11,-0.36,4.27,11229.000000,1988
2459424.282216,0.89706,0.02516,1.4765,-0.75,-0.17,4.53,10685.000000,1981
2459424.282934,0.95643,0.02537,1.4718,-1.13,0.15,5.33,12093.000000,1996
2459424.283640,1.02069,0.02621,1.4672,-0.35,0.15,4.12,11664.000000,2045
2459424.284357,1.00828,0.02825,1.4626,-0.14,0.37,4.57,9648.000000,2092
2459424.285075,1.02276,0.02759,1.4580,0.36,0.09,3.94,11847.000000,2118
2459424.285781,0.97584,0.02627,1.4535,-0.27,-0.91,4.04,11412.000000,2126
2459424.286499,0.95398,0.02587,1.4490,-1.11,-0.27,4.46,12378.000000,2133
2459424.287205,0.99189,0.02705,1.4446,1.20,0.88,4.43,11666.000000,2161
2459424.287922,0.98482,0.02677,1.4402,-0.75,0.42,4.03,11909.000000,2198
2459424.288628,0.92899,0.02760,1.4359,-0.90,0.19,4.26,12032.000000,2257
2459424.289346,0.96094,0.02803,1.4315,-0.28,-0.35,4.42,10433.000000,2289
2459424.290052,0.97679,0.02585,1.4273,-1.10,-0.32,4.99,13134.000000,2320
2459424.290769,1.03561,0.02612,1.4230,-0.57,1.23,4.22,13126.000000,2374
2459424.291488,0.99019,0.02727,1.4187,0.02,-0.10,4.45,12525.000000,2460
2459424.292194,1.00534,0.02662,1.4146,-0.19,0.98,4.51,13156.000000,2544
2459424.292912,1.01358,0.02803,1.4104,-0.42,-0.23,4.42,12397.000000,2646
2459424.293618,1.00070,0.02675,1.4063,-0.33,0.92,4.22,13149.000000,2774
2459424.294335,0.98886,0.02689,1.4022,0.00,-0.00,4.09,14375.000000,2919
2459424.295041,0.99194,0.02667,1.3982,-0.97,-0.14,4.59,16075.000000,3090
2459424.295759,1.00994,0.02747,1.3942,-0.31,-0.67,4.42,13496.000000,3298
2459424.296476,1.00857,0.02806,1.3902,-1.91,-0.46,4.47,14703.000000,3555
2459424.297182,0.97414,0.02927,1.3863,-0.30,-0.68,4.92,14636.000000,3876
2459424.297900,1.00741,0.03057,1.3824,0.45,-0.45,4.56,13976.000000,4249
2459424.298606,0.98225,0.03104,1.3785,-1.20,-0.51,4.54,16344.000000,4678
2459424.299324,0.93995,0.03361,1.3747,-0.63,-1.32,5.45,15546.000000,5194
2459424.300030,0.99715,0.03482,1.3709,-0.68,-0.51,4.19,17703.000000,5795
2459424.300747,1.00369,0.03758,1.3671,-0.40,-1.31,4.92,17344.000000,6498
2459424.301453,0.99062,0.03880,1.3634,-2.04,-1.42,5.75,17946.000000,7308
2459424.302171,0.94966,0.03996,1.3597,-1.18,-1.87,5.55,20737.000000,8232
2459424.302888,0.99790,0.04509,1.3560,-1.57,-2.17,6.20,22029.000000,9359
2459424.304312,1.07322,0.05106,1.3487,-1.60,-1.15,5.47,23020.000000,12271
2459424.305018,0.98746,0.05625,1.3452,-1.64,-2.48,6.38,25414.000000,14114
2459424.305737,0.96398,0.06254,1.3416,-2.06,-3.01,6.51,27509.000000,16361
2459424.306443,1.05133,0.07484,1.3381,-2.90,-2.99,6.81,28865.000000,18969
2459424.307160,1.11398,0.07305,1.3346,-0.76,-2.35,6.77,32696.000000,22128
2459424.307866,1.01957,0.07648,1.3311,0.54,-2.64,6.73,37656.000000,25966
