,GJD-2450000,flux,err,airmass,sky(ADU),dx(pix),dy(pix),fwhm(pix),peak(ADU)
55,9206.751653,0.9901139999999999,0.001802,1.3433,323.9,-0.076,0.247,3.45,38958.0
56,9206.752636,0.990612,0.0017929999999999999,1.339,318.8,-0.38299999999999995,0.374,2.93,50969.0
57,9206.753626,0.99046,0.0017879999999999999,1.3347,317.9,0.33799999999999997,-0.174,3.18,50235.4
58,9206.754608,0.9945510000000001,0.0017980000000000001,1.3305,318.6,0.024,-0.155,3.13,51445.8
59,9206.755591,0.9926229999999999,0.0017980000000000001,1.3264,318.0,-0.629,0.841,3.31,44550.8
60,9206.756581,0.991624,0.0017929999999999999,1.3223,319.4,-0.147,-0.243,3.34,43870.6
61,9206.757562,0.9908370000000001,0.001802,1.3183,323.1,0.552,0.048,3.37,40072.0
62,9206.758552,0.9951,0.001813,1.3144,325.4,0.021,0.067,3.56,37695.4
63,9206.759533,0.994926,0.001814,1.3105,325.9,-0.92,0.14800000000000002,3.31,39944.0
64,9206.760515,0.999075,0.001818,1.3066,324.8,0.23600000000000002,-0.141,3.73,37855.7
65,9206.761505,0.9979049999999999,0.001807,1.3029,322.8,0.025,0.021,3.41,41952.2
66,9206.762487,1.001685,0.001807,1.2991,319.5,-0.21600000000000003,-0.038,3.28,48775.1
67,9206.763475,1.003144,0.001807,1.2955,317.4,-1.036,0.115,3.08,50953.2
68,9206.764457,0.999445,0.0017980000000000001,1.2918,313.2,0.391,0.005,3.26,47161.8
69,9206.765438,0.999474,0.001794,1.2883,310.2,-0.265,-0.10800000000000001,2.94,56213.1
70,9206.766457,0.9959020000000001,0.0017829999999999999,1.2846,307.0,-0.011000000000000001,-0.127,2.97,55096.8
71,9206.767445,1.000254,0.0017879999999999999,1.2812,303.0,-0.7809999999999999,0.099,3.1,48206.3
72,9206.768426,1.001692,0.001786,1.2778,301.9,0.142,-0.14300000000000002,3.0,50390.4
73,9206.769415,0.999345,0.001786,1.2744,303.6,0.073,-0.077,3.14,50170.6
74,9206.770396,1.0027139999999999,0.0017989999999999998,1.2711,301.8,-0.35,0.19699999999999998,3.35,45303.5
75,9206.771377,1.0003030000000002,0.0017980000000000001,1.2678,295.4,-0.41700000000000004,-0.14800000000000002,3.75,40124.9
76,9206.772365,0.9982479999999999,0.00179,1.2646,293.6,0.289,-0.691,3.26,43817.4
77,9206.773353,1.000283,0.0017879999999999999,1.2614,291.8,-0.096,-0.452,3.12,53423.2
78,9206.774334,1.001349,0.001789,1.2583,290.6,0.028999999999999998,0.085,3.52,42425.5
79,9206.775321,1.001558,0.001782,1.2552,288.5,-0.513,-0.601,3.13,50470.8
80,9206.776302,0.998182,0.001782,1.2522,289.9,0.456,-0.698,3.47,40280.7
81,9206.777289,1.000903,0.001784,1.2492,289.3,-0.10400000000000001,-0.66,3.23,47746.0
82,9206.778277,1.002659,0.0017829999999999999,1.2463,288.5,0.142,-0.40299999999999997,3.54,45395.6
83,9206.779263,1.003242,0.001775,1.2434,284.1,-0.518,-0.23600000000000002,2.87,60428.7
84,9206.780242,0.9995059999999999,0.001773,1.2406,283.6,0.147,-0.65,2.94,53592.7
85,9206.78123,1.002473,0.001775,1.2378,279.3,0.037000000000000005,-0.304,2.92,57632.7
86,9206.782218,1.000614,0.0017699999999999999,1.235,276.4,-0.047,-0.5429999999999999,3.0,54714.5
87,9206.783198000001,1.000436,0.001772,1.2323,275.0,-0.6829999999999999,0.0,2.92,56931.9
88,9206.784184,0.998708,0.001784,1.2296,275.5,0.08,-1.032,3.32,43570.2
89,9206.785171,1.002078,0.0017879999999999999,1.227,273.3,0.20199999999999999,-0.6779999999999999,3.14,43913.5
90,9206.786156999999,1.000523,0.0017809999999999998,1.2244,271.6,-0.184,-0.703,3.21,43038.4
91,9206.787143000001,1.000591,0.0017879999999999999,1.2219,271.1,-0.499,-0.158,3.31,43267.6
92,9206.788129,1.003642,0.0017870000000000002,1.2194,268.8,-0.589,-0.375,3.46,40883.5
93,9206.789109000001,0.9991459999999999,0.0017850000000000001,1.2169,268.7,0.105,-1.093,3.51,44008.5
94,9206.790094,1.0006540000000002,0.0017800000000000001,1.2145,267.2,-0.19699999999999998,-0.787,3.25,49963.4
95,9206.791079999999,1.000304,0.0017760000000000002,1.2122,266.5,0.276,-0.6659999999999999,3.11,46925.6
96,9206.792065000001,1.001947,0.001777,1.2098,264.3,-0.816,-0.39899999999999997,3.07,49852.9
97,9206.793051,1.0005680000000001,0.0017800000000000001,1.2075,262.7,-0.075,-0.917,3.32,46970.1
98,9206.794036,1.004538,0.001802,1.2053,262.3,0.07400000000000001,-1.2819999999999998,3.89,34897.2
99,9206.795021,1.002174,0.0017879999999999999,1.2031,260.9,-0.259,-0.977,3.35,44026.7
100,9206.796008,1.001643,0.0017829999999999999,1.2009,260.7,-0.342,-0.905,3.25,48220.1
101,9206.796992,1.002608,0.001786,1.1987,260.7,-0.93,-0.594,3.04,45153.0
102,9206.797977,1.00159,0.0017800000000000001,1.1967,260.4,0.051,-1.278,3.01,48875.9
103,9206.798963,0.9979819999999999,0.0017760000000000002,1.1946,258.2,-0.37,-1.097,3.4,48107.6
104,9206.799954,1.0015690000000002,0.0017829999999999999,1.1926,258.6,-0.185,-1.155,3.48,42022.5
105,9206.800932,1.000018,0.0017809999999999998,1.1906,259.3,-0.031,-0.857,3.72,42591.9
106,9206.801918000001,1.004623,0.001782,1.1887,258.1,-0.889,-0.7490000000000001,3.05,49416.6
107,9206.802902,1.002245,0.0017809999999999998,1.1867,258.3,-0.077,-1.6469999999999998,3.39,41404.7
108,9206.803893,1.003577,0.0017870000000000002,1.1849,261.0,0.0,-1.632,3.58,40719.9
109,9206.804877,1.000739,0.001775,1.183,259.4,-0.16399999999999998,-1.355,3.7,43441.8
110,9206.805859999999,1.001342,0.0017920000000000002,1.1813,256.6,-0.293,-1.306,3.37,40321.5
111,9206.806844,1.000807,0.00179,1.1795,257.2,-0.6890000000000001,-1.541,3.79,36449.3
112,9206.807826999999,1.004528,0.0017989999999999998,1.1778,256.8,-0.562,-1.4680000000000002,3.57,36791.1
113,9206.808818000001,0.998775,0.0017920000000000002,1.1761,256.2,0.11199999999999999,-1.6869999999999998,3.68,35610.0
114,9206.809802,1.0,0.0017800000000000001,1.1744,256.7,-0.295,-1.6909999999999998,3.25,44834.8
115,9206.810785,0.9999530000000001,0.001779,1.1728,258.1,-0.29,-1.6030000000000002,3.43,40861.6
116,9206.811769,1.003132,0.0017929999999999999,1.1712,258.4,-0.295,-1.587,3.62,38486.2
117,9206.812759,0.999965,0.001778,1.1697,253.6,-0.653,-1.508,3.58,40142.3
118,9206.813743,1.002761,0.0017850000000000001,1.1682,251.6,-0.478,-1.776,3.71,37763.1
119,9206.814726999999,1.00066,0.001795,1.1667,249.6,0.002,-2.11,3.73,33740.9
120,9206.815711,1.004514,0.001795,1.1653,246.2,-0.42200000000000004,-1.905,3.58,39709.0
121,9206.816695,1.003198,0.0017870000000000002,1.1639,244.6,-0.201,-1.8,3.52,39756.0
122,9206.817685,1.001771,0.0017829999999999999,1.1625,242.8,-0.473,-1.675,3.71,35752.3
123,9206.818667,1.000183,0.0017809999999999998,1.1612,242.8,-0.688,-1.982,3.62,37640.8
124,9206.81965,0.99923,0.001779,1.1599,242.4,-0.703,-1.587,3.36,39888.9
125,9206.820638,1.0046680000000001,0.001791,1.1586,242.3,-0.37,-2.336,3.77,36527.3
126,9206.82162,1.00185,0.0017929999999999999,1.1574,245.0,-0.165,-2.484,4.21,31898.5
127,9206.822609,0.9998090000000001,0.001795,1.1562,247.4,-0.5920000000000001,-2.13,3.77,32815.4
128,9206.823634999999,1.003949,0.0018030000000000001,1.1549,248.7,-0.304,-2.515,4.08,30682.5
129,9206.824618,1.002107,0.001807,1.1538,250.7,-0.629,-2.1790000000000003,3.96,30311.3
130,9206.825599,1.002839,0.0018059999999999999,1.1527,254.7,-0.703,-1.994,4.04,30816.4
