,BJD_TDB,Err,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
73,2459206.809005266,1.002461,1.002461,1.1858,558.5,-0.023,-1.511,3.71,69337.1
74,2459206.81045522,0.9997729999999999,0.9997729999999999,1.1831,557.3,-0.188,-1.3119999999999998,3.73,69975.3
75,2459206.811905175,1.000896,1.000896,1.1804,553.6,-0.22399999999999998,-1.3880000000000001,3.97,61415.4
76,2459206.813356129,1.000399,1.000399,1.1779,553.4,-0.4,-1.4180000000000001,3.84,64391.0
77,2459206.814806084,0.9997229999999999,0.9997229999999999,1.1754,552.4,-0.136,-1.584,3.7,69095.2
78,2459206.816256039,1.0020790000000002,1.0020790000000002,1.173,554.5,-0.28,-1.624,3.55,71672.5
79,2459206.817694993,1.002592,1.002592,1.1707,552.6,-0.431,-1.4969999999999999,3.72,65802.6
80,2459206.819144948,1.001906,1.001906,1.1685,544.6,-0.418,-1.755,3.73,66035.3
81,2459206.820593903,1.002478,1.002478,1.1663,538.6,-0.313,-1.9969999999999999,4.06,58766.2
82,2459206.822042857,1.001716,1.001716,1.1642,532.2,-0.39299999999999996,-1.761,3.56,70172.1
83,2459206.823491812,1.001288,1.001288,1.1622,529.1,-0.308,-1.696,3.91,62349.5
84,2459206.824940767,1.000613,1.000613,1.1603,528.5,-0.551,-1.732,3.63,66754.1
85,2459206.826389722,1.000577,1.000577,1.1584,528.8,-0.34700000000000003,-2.469,4.04,58167.0
86,2459206.827838677,1.001951,1.001951,1.1566,533.6,-0.42,-2.207,4.18,58721.0
87,2459206.829287631,1.0006,1.0006,1.1549,537.9,-0.47600000000000003,-2.34,4.51,51058.3
88,2459206.830737586,1.001364,1.001364,1.1532,545.2,-0.40299999999999997,-2.195,4.34,51555.9
