This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Jan 28 03:45:42 2022
Filter Values: stellar_teff lessThan 4000; planet_radius lessThan 5; tfopwg_disposition notContains FP

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ACWG ESM","ACWG TSM","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"304426002","3048.01","","3","4","3","3","1","4","4","309.4","3754","1","0","0","PC","PC","12.3662","0.03","1","qlp","QLP","177.796145","-65.316829","-6.652","0.038","0.695","0.039","2458620.543548","0.0017586","5.7681637","0.0003987","4.277","0.428","31.15832","0.031307","28290","28.8343","","","","","55","4849.87","592.595","","","","","","","","","","","10,11","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"67247610","3528.01","","3","4","3","3","2","4","4","580","2251.4","0","0","2","PC","PC","13.134","0.017","1","qlp","QLP","311.862231","37.117833","","","","","2458731.528483","0.0022082","1.9747982","0.0003652","1.556","0.386","12.865902","0.058332","11780","53.724","","","79.089","830","17","","","3633.7","351.2","","","","","","","","","15","V-shaped; found in faint-star QLP search","2021-06-23","2021-06-23","2021-10-29"
"384244834","3143.01","","3","4","3","3","1","4","4","267.7","1137.8","0","0","0","PC","PC","12.048","0.019","1","qlp","QLP","216.568723","-63.050473","","","","","2458619.231492","0.0050268","2.9892844","0.0015327","3.103","0.532","6.68697","0.023528","6140","21.6699","","","","","12","","","","","","","","","","","","","11","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"304950588","3220.01","","3","4","3","3","1","4","4","94.9","786.6","0","0","0","PC","PC","13.2566","0.029","1","qlp","QLP","178.357087","-61.097733","-6.257","0.031","0.371","0.026","2458622.54343","0.0060072","7.4239508","0.0025042","2.889","0.616","20.960301","0.087625","19120","80.7022","","","14.4954","543","10","3327.99","244.17","3505","222.6","","","","","","","","","10,11","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"138819293","1796.01","","5","5","5","5","5","5","5","96","750.9","0","0","0","KP","KP","8.40346","0.007","1","spoc","SPOC/QLP","175.550536","26.703067","895.047","0.128","-814.031","0.123","2458899.671523","0.00016896799","2.6439731528566","0.000026656662","0.95489297819908","0.015000233","7.059076","0.0615","6480.5595163234","56.641743","3.7640612098775","0.118152626","29.430907456479","594.04680282927","119.97359","9.75321","0.00897","3456","157","4.8","","0.425432","0.0125187","","","0.419868","0.0201679","22","GJ 436 b","2020-04-15","2020-04-15","2021-10-29"
"387791274","3142.01","","3","4","3","3","1","4","4","257.6","680","0","0","0","PC","PC","13.229","0.032","1","qlp","QLP","217.301861","-62.053831","-3.605","0.026","-2.367","0.033","2458651.735908","0.0076033","1.1536701","0.0002251","2.454","0.359","34.246582","0.099507","31050","91.6448","","","","","14","1517.54","52.065","","","","","","","","","","","11,12","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"46807139","5031.01","","3","4","3","3","1","4","4","130.8","667.9","0","0","0","PC","PC","13.302","0.21","1","qlp-s39-faintsearch","QLP","230.789617","-58.726784","-4.528","0.1","-1.773","0.123","2459381.694747","0.0100815","4.5314275","0.0001267","6.41","0.978","6.601763","0.015993","6062","14.7304","","","242.998","1099","10","3154.91","976.47","3605","200.3","","","","","","","","","12,38,39","found in faint-star QLP search; no stellar radius","2022-01-06","2022-01-06","2022-01-11"
"307809773","4599.02","","1","4","4","1","2","4","4","7.7","551.6","0","2","1","PC","PC","7.89863","0.008","2","qlp-s45-ffi","SPOC/QLP","99.291543","17.56627","-764.522","0.088","337.802","0.075","2459547.422942","0.0010147","5.7057959","0.000129","0.892","0.128","0.901535","0.577842","830","532.071","3.57973","1.18615","30.1876","653","29","10.0055","0.00505","3807","157","4.77","0.01","0.47","0.01","","","0.463011","0.020376","43,44,45","TOI 4599.02; potential multi","2021-11-01","2022-01-24","2022-01-26"
"206609630","212.01","","3","5","5","3","4","4","4","190.8","528.7","13","0","5","PC","PC","12.5595","0.008","1","spoc","UNKNOWN","22.550024","-59.583246","-116.97","2","-16.69","2","2458325.489663","0.000052379335","0.33527235065944","9.664593e-7","0.71862837923017","0.0076445313","20.807279","0.244812","18981.746186787","225.45465","4.4688","0.776006","11198.479020149","2823.7","114.26064","","","3332","63","4.94964","0.399131","0.3","0.05","","","","","1,2,28,29","V-shaped; possible EB; Possible M dwarf; Gaia give this source duplication flag; no radius/parallax available","2018-10-22","2021-07-07","2021-10-29"
"441420236","2221.01","","4","4","4","5","4","5","5","50.1","466.1","31","1","2","KP","CP","6.755","0.032","1","spoc","SPOC","311.291137","-31.34245","281.424","0.075","-359.895","0.054","2459041.281746","0.0009567216","","","3.57380057446","0.069821164","3.123035","0.235679","2872.288752535","217.04503","4.0269258328056","0.21189068","76.637913165169","754.6240935448","22.71253","9.7221","0.004625","3588","87","4.60198","0.0633204","0.698009","0.0210957","","","0.662074","0.0204762","27","AU Mic b; first transit matches expected ephemeris","2020-09-18","2020-09-18","2022-01-24"
"153077621","454.01","","1","5","5","1","3","4","4","24","458.7","4","2","5","PC","APC","9.441","0.037","1","spoc","UNKNOWN","49.659937","-42.642329","-50.736","0.042","6.323","0.055","2458396.13818","0.000862134","18.08260841783","0.000027851647","2.3867987081868","0.07725563","8.723868","0.271629","8002.7855656334","250.14842","3.9117159988852","1.7889186","11.058998469653","465.10252692096","37.224327","78.7806","0.16345","3321","117","4.95373","0.559906","0.2960000038147","0.07","","","0.287","0.086","3,4,30,31","There are three TICs associated with this star within 3 arcseconds (TIC 153077619 (bright neighbor) and TICs 153077621 and 651051509 which are the same star.). TIC153077619 is brighter (Tmag=8.3) and is more likely the target. It is a sunlike star - given the V-shape and the depth this signal is likely a FP. Retired as APC/BEB?/SB1 by TFOP","2019-05-17","2021-09-08","2021-10-29"
"275758701","4496.01","","3","4","3","3","3","4","4","59.2","410.6","0","2","1","PC","PC","9.159","0.007","1","qlp","QLP","305.270928","43.675167","8.4","1.3","-2.1","1.3","2459445.91867","0.0009558","1.1861003","0.0000025","1.785","0.13","2.837476","0.001353","2610","1.2466","","","","","62","264.751","","","","","","","","","","","","14,15,41","Double star. No stellar parameters but stellar radius seems super-solar (1.5-2.5 Rs). Radius may still be planetary (radius ratio ~4%).","2021-10-07","2021-10-06","2021-12-21"
"304025075","2951.01","","3","4","3","3","1","4","4","143.9","377.4","0","0","0","PC","PC","13.417","0.006","1","qlp","QLP","140.738354","-68.83153","-4.069","3.088","10.284","3.088","2459359.206011","0.0007549","3.029136","0.0000039","2.829","0.314","20.263178","0.020956","18490","19.3013","","","","","75","","","","","","","","","","","","","9,10,11,36,37,38","found in faint-star QLP search","2021-06-04","2021-11-10","2021-11-13"
"297668572","3223.01","","3","4","3","3","1","4","4","98.6","365.3","1","0","0","PC","PC","13.2272","0.009","1","qlp","QLP","180.606425","-66.529163","-4.84","0.026","0.878","0.025","2458617.377313","0.0020857","4.6342981","0.0008823","5.611","0.293","51.117682","0.021759","45990","20.0402","","","177.85","1017","48","2825.07","129.43","3905.6","236.5","","","","","","","","","11","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"461867584","1039.01","","3","5","5","3","3","4","4","47.7","361.2","8","0","3","EB","APC","8.5483","0.6","1","spoc","UNKNOWN","149.688545","-58.760453","-6.434","0.215","4.098","0.246","2459284.212291","0.0012098054","4.4205395816436","0.00048064682","4.8490726331913","0.07000708","6.268316","0.217311","5756.6991095967","200.13098","","","359.51938740062","1110.5812278806","28.787357","2864.34","1012.54","","","","","","","","","","","9,10,36","Transit object might be too big as star is hot and distant (potential B4IV from Simbad which would imply radius > 30 Re); TFOP EB/APC","2019-07-24","2021-05-10","2021-10-29"
"357457104","1330.01","","3","4","3","3","4","4","4","207.2","340.3","2","0","2","PC","PC","9.521","0.136","1","spoc","QLP","315.540896","45.775741","","","","","2458712.4145","0.00438","1.748063","0.00066","2.166971","0.163","1.537562","0.294618","1415.144301","271.316","","","","","16.912672","","","","","","","","","","","","","15,16","limited stellar information; likely giant from Gaia DR2 parallax~0.09 and temp~3300K; Transits phased with oot variability","2019-10-17","2019-10-17","2021-10-29"
"466318137","3153.01","","3","4","3","3","1","4","4","255.6","340.3","0","0","0","PC","PC","11.2789","0.01","1","qlp","QLP","165.732079","-60.196871","","","","","2458622.951921","0.0039246","1.1216403","0.0001449","1.274","0.286","5.824283","0.02359","5350","21.7274","","","115.13","912","20","","","3294","38.9","","","","","","","","","10,11","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"410153553","136.01","","1","5","5","5","4","1","4","31.9","326","8","1","5","PC","CP","11.9238","0.008","1","spoc","UNKNOWN","340.496204","-69.172108","334.357","0.083","-726.974","0.086","2459036.323679","0.00038085453","0.46288440527326","0.000015224909","0.55882192078813","0.08828183","4.885837","0.188836","4489.9119215305","173.90933","1.354323680243","0.18157507","64.718104042017","723.39615494047","25.038494","14.8846","0.0113","3043","63","5.09707","0.426694","0.188624","0.00571031","","","0.157909","0.0200668","1,27","Level 1 target. Potential short period small planet around an M dwarf.","2018-09-05","2020-10-27","2021-11-25"
"465540915","3029.01","","3","4","3","3","1","4","4","35.1","308.1","0","0","0","PC","PC","10.8257","0.227","1","qlp","QLP","163.675474","-60.347787","-6.472","0.066","3.112","0.068","2458621.193871","0.0095316","2.0250957","0.0007397","3.624","0.694","1.173229","0.005407","1080","4.98008","","","428.526","1267","14","11925.2","3046.08","3600.5","257","","","","","","","","","10,11","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"434105094","4506.01","","2","4","2","2","1","4","4","5.2","296.2","0","0","0","PC","PC","13.6343","0.009","1","spoc","SPOC","354.410625","-12.84253","203.26","2","-319.09","2","2458357.521433","0.0007341922","5.4106751121495","0.000011381838","0.6868065641222","0.13369797","35.403256","5.027321","32081.707028465","4619.6304","4.953250314493","19.253931","1.900228516241","299.44785558884","8.669114","","","2938","93","5.14513","0.477512","0.18501299619675","0.00588037","","","0.154449","0.0201359","2,29","v-shaped; low SNR","2021-10-21","2021-10-21","2021-10-29"
