This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Jan 28 03:45:42 2022
Filter Values: stellar_teff lessThan 4000; planet_radius lessThan 5; tfopwg_disposition notContains FP

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ACWG ESM","ACWG TSM","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"381996371","3178.01","","3","4","3","3","3","4","4","100.4","293.8","0","0","1","PC","PC","12.0729","0.6","1","qlp","QLP","208.700857","-62.685154","-4.341","0.021","-3.419","0.03","2458619.971903","0.0034315","2.9340265","0.0009261","4.37","0.387","23.842063","0.023636","21720","21.769","","","","","19","1937.21","83.71","","","","","","","","","","","11,12","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"1813844121","4152.01","","3","4","3","3","2","4","4","196.3","278.3","1","0","1","PC","PC","11.7729","0.052","1","qlp","QLP","280.763651","24.089703","-0.176","0.177","-5.824","0.243","2459034.077762","0.0008892","1.581973","0.0001096","3.05","0.091","14.592199","0.001732","13350","1.59548","","","","","80","555.317","43.935","","","","","","","","","","","26","found in faint-star QLP search","2021-06-23","2021-06-23","2021-10-29"
"464067218","3059.01","","3","4","3","3","1","4","4","266.8","270.2","0","0","0","PC","PC","11.2012","0.01","1","qlp","QLP","155.307542","-58.537011","","","","","2458594.925952","0.0058089","1.3933698","0.0003109","2.769","0.493","3.360119","0.009786","3090","9.01304","","","363.662","1216","17","","","3301","51.7","","","","","","","","","9,10","found in faint-star QLP search","2021-06-04","2021-06-04","2021-11-25"
"193782529","3333.01","","3","4","3","3","1","4","4","113.4","266.7","0","0","0","PC","PC","13.334","0.055","1","qlp","QLP","270.881486","-35.447285","","","","","2458674.781485","0.0083687","3.9823479","0.003558","4.463","1.02","35.345256","0.290396","32030","267.429","","","197.455","1044","11","","","3986","125.8","","","","","","","","","13","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"66620917","4391.01","","3","4","3","3","1","4","4","34.9","259.9","0","0","0","PC","PC","7.301","0.028","1","qlp","QLP","236.069274","-54.320889","-18.4","1.4","-13.3","1.5","2459377.163409","0.0031349","5.2910096","0.0000457","4.122","0.286","1.814695","0.001539","1670","1.41754","","","","","18","162.338","","","","","","","","","","","","12,39","known visual binary; variable star; no stellar radius/temperature; likely F star","2021-08-19","2021-08-19","2021-10-29"
"92359852","2690.01","","3","4","4","3","3","4","4","84.7","249.2","2","1","3","PC","PC","10.732","0.021","1","qlp","QLP","52.231039","-19.974666","","","","","2459167.712302","0.0004408","4.1549988","0.0000041","2.873","0.096","15.120533","0.002312","13830","2.12906","","","","","109","","","","","","","","","","","","","4,31","no radius; found in faint-star QLP search","2021-06-03","2021-06-03","2022-01-18"
"952046774","4175.01","","3","4","3","3","3","4","4","33.3","248.7","0","1","1","PC","PC","8.0935","0.007","1","qlp","QLP","198.540133","-16.559329","140.331","0.213","-140.138","0.247","2459331.842003","0.0024117","2.1642388","0.0010312","1.264","0.335","0.868937","0.003286","800","3.02676","","","","","12","46.5528","0.2466","","","","","","","","","","","37","no stellar information; brighter of two real stars (TIC 952046774 and 952046773) which are phantom split with TIC 347752831","2021-06-29","2021-06-29","2021-10-29"
"214243287","4398.01","","3","4","3","3","1","4","4","61","245.3","0","0","0","PC","PC","9.933","0.018","1","qlp","QLP","260.799238","-51.024433","5.9","2","-4.4","1.9","2459379.721026","0.0008257","5.7525297","0.0000216","4.641","0.282","9.596767","0.01048","8800","9.65231","","","","","110","213.41","","","","","","","","","","","","12,39","Secondary eclipse depth may be consistent with a planet; slight depth aperture correlation; possible centroid shift; no stellar parameters","2021-08-19","2021-08-19","2021-10-29"
"627323667","4075.01","","3","4","3","3","1","4","4","92.2","242.8","0","0","0","PC","PC","13.0731","0.012","1","qlp","QLP","23.9436","65.638786","0.264","0.884","8.684","1.146","2459006.784979","0.0029457","3.0493757","0.0000808","3.545","0.387","5.85703","0.007294","5380","6.71776","","","","","14","1965.77","1886.52","","","","","","","","","","","18,24,25","found in faint-star QLP search","2021-06-23","2021-06-23","2021-10-29"
"19028197","5094.01","","5","5","5","5","5","5","5","37.1","242.6","0","0","0","KP","KP","10.2479","0.007","1","qlp-s45-ffi","SPOC/QLP","119.773502","15.391209","-185.734","0.106","-57.263","0.06","2459543.912545","0.0004143","3.3367727","0.0000686","1.741","0.049","7.069393","0.000578","6490","0.53199","4.30957","0.134845","27.4409","637","109","29.4214","0.05075","3552","157","4.74","0.01","0.5","0.01","","","0.497757","0.0203467","44,45","GJ 3470 b","2022-01-06","2022-01-19","2022-01-26"
"244161191","278.01","","4","4","4","5","4","5","5","56.7","233.6","1","1","6","PC","","13.1672","0.008","1","spoc","UNKNOWN","4.883562","-5.911561","108.144","0.343","-68.177","0.182","2458381.775526","0.00031334546","0.29873099568956","0.000005818342","0.62162045683008","0.105019316","7.195188","0.487349","6605.1029307477","448.7647","2.5268621883834","0.42984232","188.33133200436","944.82286344292","15.121655","44.397","0.2863","2955","95","5.13527","0.496238","0.30063900351524","0.00921362","","","0.277347","0.0203038","3,30","likely SV","2018-12-11","2021-11-15","2021-11-25"
"314013231","3213.01","","3","4","3","3","1","4","4","95.3","218.4","0","0","0","PC","PC","13.0427","0.008","1","qlp","QLP","184.044295","-66.055079","","","","","2458621.058767","0.002909","2.5404165","0.0006127","3.046","0.389","24.041853","0.029305","21900","26.9901","","","213.83","1065","22","1181.83","","3931.6","225.1","","","","","","","","","11","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"258796169","4616.01","","2","4","4","2","1","4","4","5.5","214.1","5","0","0","PC","PC","12.8872","0.007","1","spoc-s42-s43-b0A","SPOC","14.818088","13.860795","31.563","0.132","178.888","0.095","2459448.706988","0.0014133087","1.5538326082275","0.00008055765","0.8131025468575","0.36234367","4.243144","0.44769","3900.4531885351","412.25296","1.2223160327324","0.7920717","17.981275116332","525.20018576827","9.514139","28.1016","0.06625","3244","157","5.07736","0.0280122","0.19272899627685","0.00578436","","","0.161878","0.0200574","42,43","potential L1 planet; small M dwarf; somewhat V-shaped","2021-11-09","2022-01-26","2022-01-27"
"1718201850","1351.01","","5","5","5","5","1","5","5","56.5","210.5","0","0","0","EB","APC","10.3267","0.02","1","qlp","QLP","286.746549","71.712195","-42.869","1.094","2.803","1.441","2459444.966337","0.0005786","5.9294098","0.0000054","3.228","0.232","15.461885","0.00115","14140","1.059","","","","","371","125.308","16.6305","","","","","","","","","","","14,15,16,17,18,19,20,21,22,23,24,25,26,40,41","TRES data show the event is this fainter star of the pair TIC 258777137 and TIC 1718201850 and the mass is likely stellar. Retired as an EB.","2019-10-30","2021-11-23","2021-12-07"
"146406806","594.01","","1","4","1","3","3","4","4","29.1","201.3","4","0","1","PC","PC","10.3979","0.009","1","spoc","UNKNOWN","123.733512","-31.60831","-4.026","0.094","1.425","0.102","2459237.953827","0.0014953221","13.949658582408","0.0008494172","4.5415690814588","0.11044461","8.613325","0.276716","7901.7811914556","254.83273","","","77.673210311968","757.1598271346","38.394302","992.63","67.2745","","","","","","","","","","","7,8,34,35","V shaped; two stars in the same pixel; likely EB; no stellar radius but J-K and parallax suggest likely A star (Rs>2.5 Rsun) therefore the planet radius is likely stellar at this period","2019-04-13","2021-10-05","2021-10-29"
"318937509","516.01","","5","5","5","5","4","5","5","96","193.7","8","2","3","EB","APC","14.114","0.009","1","spoc","SPOC","112.381555","2.847953","18.804","0.151","-38.756","0.11","2458492.649974","0.000949","1.04855","0.000073","1.062799","0.058793","38.282322","2.288797","34644.953978","2105.8394","4.183797","0.977004","26.919249449826","580.94562612195","20.462208","150.5","2.0185","3109","98","5.06577","0.548895","0.202","0.046","","","0.504545","0.0208618","7","v-shaped; TFOP APC/retired as SB2","2019-03-22","2021-02-09","2021-12-21"
"332314607","3312.01","","3","4","3","3","3","4","4","105.5","192.9","0","0","1","PC","PC","12.5578","0.007","1","qlp","QLP","272.905634","-36.782023","","","","","2458672.498932","0.0015494","5.3890264","0.0013376","3.794","0.689","32.499963","0.093258","29490","85.8901","","","93.9124","867","34","450.91","","3930.3","388.7","","","","","","","","","13","found in faint-star QLP search","2021-06-04","2021-06-04","2021-10-29"
"302976834","2783.01","","3","4","3","3","3","4","4","125.9","184","3","0","1","PC","PC","12.373","0.032","1","qlp","QLP","83.450594","16.810667","","","","","2458487.645492","0.0010474","2.304662","0.0002119","3.313","0.295","22.976731","0.009347","20940","8.60931","","","","","81","517.422","","","","","","","","","","","","6","no radius; found in faint-star QLP search","2021-06-03","2021-06-03","2021-10-29"
"100504381","2231.01","","5","5","5","5","5","5","5","41","177.8","0","0","2","PC","FA","8.565","0.017","1","qlp","QLP","308.563699","-48.274725","11.7","2","-13.8","1.8","2459039.62785","0.00096","5.46364","0.00049","1.026","0.179","2.467423","0.003571","2270","3.28942","","","","","42","","","","","","","","","","","","","27","no stellar parameters; TFOP FA; the phantom in a split with 1989628303 and 1989628301","2020-09-18","2020-09-18","2021-10-29"
"307210830","175.02","","4","5","5","5","4","4","4","2.8","176.6","19","4","4","CP","CP","9.41242","0.007","2","qlp","UNKNOWN","124.53286","-68.314466","94.768","0.054","-340.47","0.052","2459338.78409","0.0013956774","7.4507325","0.0000072","0.527","0.089","1.477606","0.010478","1360","9.65091","1.7216","0.118895","1.47755","307","37","10.6194","0.0032","3469","68","4.9401","0.058929","0.31","0.01","","","0.292836","0.0201481","2,5,8,9,10,11,12,28,29,32,35,36,37,38","L 98-59 d / TOI 750.02","2019-05-07","2021-08-19","2021-11-25"
"181804752","736.01","","1","4","1","5","4","3","2","5.6","176.4","55","3","8","CP","CP","13.5571","0.008","1","spoc","SPOC","165.690484","-16.406444","-221.078","0.219","-58.999","0.138","2459285.014805","0.0011335249","4.9899031537775","0.000007779536","1.1018342681634","0.11890712","19.138643","0.876838","17472.888459521","807.272","2.283532257038","0.22025356","2.2410878781533","312.05738956967","20.562578","26.4927","0.0639","2940","67","5.14315","0.410207","0.17143000662327","0.00518929","","","0.14169","0.0200509","9,36","LP 791-18 c / TOI 736.01","2019-06-06","2021-12-02","2021-12-07"
"92226327","256.02","","5","5","5","5","5","5","5","3.8","168.1","0","0","4","KP","KP","11.2991","0.007","2","spoc","UNKNOWN","11.248632","-15.274109","317.585","0.121","-596.617","0.085","2459141.100488","0.0017719","3.7779417524726","0.000008518055","1.4759325172627","0.09515379","3.773458","0.467445","3469.450738991","430.44","1.5659937175726","0.20743896","5.7174181540103","394.38440970883","17.645792","14.9861","0.01525","3131","","5.05701","","0.21553499996662","0.00655817","","","0.184589","0.0201091","3,30","LHS-1140c","2018-11-30","2021-12-01","2021-12-07"
"167403519","1320.01","","3","4","3","3","4","4","4","58.9","161.8","5","3","4","PC","PC","10.334","0.038","1","qlp","QLP","319.32501","38.104855","-4.5","1.6","-15","1.6","2458713.01541","0.00185","3.97122","0.00077","4.037","0.566","6.654198","0.007035","6110","6.47936","","","","","35","340.289","","","","","","","","","","","","15","","2019-10-17","2020-05-20","2021-10-29"
"280304556","4208.01","","3","4","3","3","1","4","4","70.6","158","0","0","0","PC","PC","13.6625","0.017","1","qlp","QLP","100.898906","-1.158464","","","","","2458489.275982","0.0055711","1.72328","0.0006888","3.005","0.441","15.505938","0.032908","14180","30.3091","","","","","18","1725.36","","","","","","","","","","","","6","found in faint-star QLP search","2021-07-12","2021-07-12","2021-10-29"
"277634430","771.01","","3","4","3","3","3","4","4","7.4","156.2","2","0","1","PC","PC","12.0874","0.007","1","spoc","UNKNOWN","164.11389","-72.985174","39.475","0.081","-76.411","0.06","2459335.352285","0.0019598098","2.3259275295353","0.0003124262","1.2325013996031","0.12482952","4.594039","0.853483","4222.3271875851","785.7778","1.9186189069766","0.36187077","14.897285104706","501.06784296167","12.7575865","25.2788","0.0257","3231","","4.438","","0.24185700714588","0.00727155","","","0.2121","0.0201145","10,37,38","Possible centroid offset; s38 affected by scattered light","2019-06-05","2021-08-17","2021-10-29"
"259377017","270.01","","1","4","1","1","4","4","4","8.6","154.8","38","4","4","CP","CP","10.4981","0.007","1","spoc","UNKNOWN","68.41608","-51.957394","82.944","0.05","-269.755","0.051","2459198.961454","0.0005277","5.6605693160307","0.000003858381","1.6631704031277","0.052896116","4.194807","0.071767","3856.1060852118","66.09782","2.4070872308756","0.11973171","9.9407407879545","452.87092260481","51.1377","22.4793","0.01355","3551","74","4.83982","0.382963","0.37435799837112","0.0114957","","","0.362274","0.020491","3,4,5,30,32","TOI-270 c / TOI 270.01","2019-05-17","2021-10-14","2021-10-29"
"70899085","442.01","","1","5","5","5","4","1","4","26.9","154.7","10","8","9","CP","CP","10.7329","0.007","1","spoc","UNKNOWN","64.190221","-12.084864","49.766","0.044","-197.253","0.034","2459196.115341","0.0005086","4.0520368","0.0000044","1.5605127851947","0.04151744","6.001573","0.122538","5512.4033192639","112.85521","4.9523133538789","0.17886217","38.544119415954","635.49082041991","44.85534","52.616","0.11525","3779","157","4.64","0.01","0.60775101184845","0.018173","","","0.594367","0.0203488","5,32","LP 714-47 b","2019-02-08","2021-12-02","2021-12-07"
"309254930","862.01","","3","4","4","3","3","4","4","129","154.4","4","0","1","PC","PC","8.9904","0.007","1","spoc","SPOC","124.300024","-65.65708","-13.6","1.7","20.1","1.7","2459333.985627","0.00054061966","3.3102704512136","0.00011234406","2.6703493028307","0.036560543","5.477938","0.103796","5032.6605697176","95.59545","","","528.69441590735","1222.9844367928","43.11893","","","","","","","","","","","","","1,5,8,9,10,11,28,31,32,35,36,37,38","Possible EB. Close neighbor. No stellar radius. Rp/Rs ~ 0.06; likely giant host","2019-07-12","2021-08-19","2021-10-29"
"463070290","3064.01","","3","4","3","3","1","4","4","88.3","154.3","0","0","0","PC","PC","10.4321","0.029","1","qlp","QLP","152.992107","-59.753708","-5.818","0.135","2.821","0.122","2458595.088931","0.0037012","0.6770192","0.0000907","1.635","0.204","1.455862","0.002983","1340","2.74728","","","452.871","1285","16","5724.18","2093.32","3194","122","","","","","","","","","9,10","found in faint-star QLP search","2021-06-04","2021-06-04","2021-11-25"
"43064903","1276.01","","5","5","5","5","5","5","5","2.7","150.2","3","0","3","PC","FA","12.5405","0.007","1","spoc","SPOC","302.669134","40.668628","294.477","0.084","-86.018","0.09","2458712.548761","0.004739046","6.2642979413134","0.0025237314","2.3899822060967","0.306185","9.922997","1.452794","9097.780143317","1337.178","2.3377517312014","0.2778097","2.7688421911205","328.99878991089","8.720192","24.5209","0.03105","3145","157","5.04431","0.0229453","0.211257","0.00620513","","","0.180245","0.0200314","15","Potential L1 candidate; could be 3 x period.","2019-10-17","2019-10-17","2021-10-29"
"280292434","4735.01","","3","4","3","3","1","4","4","52.7","146.9","1","0","0","PC","PC","12.922","0.019","1","qlp-s33-faintsearch","QLP","100.89956","-5.551933","-26.123","2.162","-29.634","2.162","2459221.109539","0.0008386","3.541053","0.0000064","2.031","0.211","23.731084","0.013086","21620","12.0527","","","","","35","","","","","","","","","","","","","6,33","found in faint-star QLP search; no stellar radius; Gaia DR2 Rstar ~ 0.587 Rsun which would make Rp planetary (~7 Re)","2021-12-21","2021-12-20","2021-12-23"
"262530407","177.01","","1","5","5","1","4","4","4","16","146.7","7","5","3","PC","CP","9.49275","0.007","1","spoc","UNKNOWN","20.438428","-46.714723","-111.206","0.058","-79.827","0.068","2458356.153228","0.00033012137","2.8531008108033","0.0000049320583","1.2586624185854","0.11815041","1.724695","0.060011","1587.2421508469","55.270573","2.1266150143488","0.39055997","42.234801794671","650.18562687048","26.2589","22.4751","0.02605","3703","66","4.76229","0.061557","0.51778602600098","0.0155797","","","0.515356","0.0204259","2,3,29","possible L1 planet","2018-12-20","2021-07-15","2022-01-10"
