,BJD_TDB,Flux,Err,Airmass,sky(ADU),DX(pix),DY(pix),FWHM(pix),PEAK(ADU)
53,2459206.780044173,0.999107,0.001206,1.2579,616.5,-0.307,-0.233,4.62,113665.0
54,2459206.781493127,1.002337,0.0012050000000000001,1.2534,614.3,-0.061,-0.469,4.88,113690.1
55,2459206.782942082,1.002597,0.001204,1.249,615.6,0.086,-0.547,4.71,113497.5
56,2459206.784391037,0.9999819999999999,0.001194,1.2447,606.0,-0.375,-0.215,4.47,113884.8
57,2459206.785839991,1.00158,0.0011970000000000001,1.2406,603.7,0.019,-0.598,4.15,113764.3
58,2459206.787288946,1.002298,0.001198,1.2365,595.5,0.0,-0.516,4.45,113854.9
59,2459206.7887379,1.000376,0.001196,1.2325,590.2,-0.456,-0.17800000000000002,4.3,113860.1
60,2459206.790186855,1.001441,0.0012029999999999999,1.2286,590.0,0.245,-0.738,4.4,113573.6
61,2459206.791635809,1.0019360000000002,0.001202,1.2247,585.5,-0.019,-0.831,4.17,113722.7
62,2459206.793085764,1.001534,0.001204,1.221,582.5,-0.6659999999999999,-0.23399999999999999,4.53,113660.9
63,2459206.794535718,0.9998379999999999,0.0012,1.2174,580.3,0.301,-0.991,4.26,113564.4
64,2459206.795974673,1.0008059999999999,0.001198,1.2138,578.4,-0.077,-0.7340000000000001,4.39,113807.0
65,2459206.797424628,1.0,0.001196,1.2104,573.9,-0.609,-0.41600000000000004,4.27,113767.0
66,2459206.798875582,0.9995959999999999,0.001202,1.207,568.5,0.061,-0.99,4.34,113663.2
67,2459206.800325537,0.9985879999999999,0.001199,1.2037,566.8,-0.128,-1.022,4.44,113447.0
68,2459206.801776492,1.000584,0.001196,1.2005,565.1,-0.312,-0.9420000000000001,4.32,113735.0
69,2459206.803215446,1.0,0.0011949999999999999,1.1974,563.9,-0.41600000000000004,-1.101,4.23,113767.9
70,2459206.804665402,1.001196,0.0011949999999999999,1.1944,560.5,-0.045,-1.145,4.36,113771.5
71,2459206.806115356,1.0015180000000001,0.0011970000000000001,1.1914,560.8,-0.009000000000000001,-1.358,4.56,113825.2
72,2459206.807566311,1.0034049999999999,0.001198,1.1885,559.2,-0.667,-0.943,4.22,113710.8
73,2459206.809005266,1.001709,0.001199,1.1858,562.6,-0.023,-1.511,4.92,113756.0
74,2459206.81045522,0.9994120000000001,0.001194,1.1831,561.1,-0.188,-1.3119999999999998,4.72,113746.9
75,2459206.811905175,0.999531,0.0012029999999999999,1.1804,558.0,-0.22399999999999998,-1.3880000000000001,4.77,113474.3
76,2459206.813356129,0.999397,0.001199,1.1779,556.8,-0.4,-1.4180000000000001,4.73,113712.4
77,2459206.814806084,0.998755,0.001198,1.1754,556.0,-0.136,-1.584,4.57,113770.4
78,2459206.816256039,1.002214,0.001196,1.173,557.6,-0.28,-1.624,4.48,113744.8
79,2459206.817694993,1.001054,0.0011970000000000001,1.1707,556.0,-0.431,-1.4969999999999999,4.73,113733.4
80,2459206.819144948,1.000964,0.001198,1.1685,547.9,-0.418,-1.755,4.56,113651.8
81,2459206.820593903,1.0013670000000001,0.001201,1.1663,542.0,-0.313,-1.9969999999999999,4.67,113679.4
82,2459206.822042857,1.00072,0.001193,1.1642,535.3,-0.39299999999999996,-1.761,4.35,113743.6
83,2459206.823491812,1.0001280000000001,0.0011949999999999999,1.1622,532.7,-0.308,-1.696,4.39,113772.1
84,2459206.824940767,0.9995430000000001,0.001191,1.1603,532.4,-0.551,-1.732,4.36,113722.0
85,2459206.826389722,0.999123,0.0011970000000000001,1.1584,532.2,-0.34700000000000003,-2.469,4.77,113656.7
86,2459206.827838677,1.000197,0.001198,1.1566,537.3,-0.42,-2.207,4.7,113593.6
87,2459206.829287631,0.998265,0.0012,1.1549,541.5,-0.47600000000000003,-2.34,5.07,113607.6
88,2459206.830737586,0.999026,0.001202,1.1532,548.8,-0.40299999999999997,-2.195,4.97,113627.9
