,GJD-2450000,exptime,airmass,sky(ADU),dx(pix),dy(pix),fwhm(pix),peak(ADU),frame,flux(r=4.0),err(r=4.0),flux_comp(r=4.0),flux(r=6.0),err(r=6.0),flux_comp(r=6.0),flux(r=8.0),err(r=8.0),flux_comp(r=8.0),flux(r=10.0),err(r=10.0),flux_comp(r=10.0),flux(r=12.0),err(r=12.0),flux_comp(r=12.0),flux(r=14.0),err(r=14.0),flux_comp(r=14.0),flux(r=16.0),err(r=16.0),flux_comp(r=16.0),flux(r=18.0),err(r=18.0),flux_comp(r=18.0),Unnamed: 33
23,9206.720113,80.0,1.5181,381.1,0.264,0.757,3.6,42856.3,ogg2m001-ep01-20201222-0074-e91,1.002071,0.001847,581950,0.9999459999999999,0.0018210000000000001,651646,1.001227,0.0018390000000000001,678304,1.000889,0.0019399999999999999,692654,1.0,0.002066,701411,0.9991030000000001,0.0022530000000000002,707979,0.9973069999999999,0.002411,714377,0.996758,0.002585,719182,
24,9206.7211,80.0,1.5114,380.8,0.037000000000000005,0.998,3.54,40651.1,ogg2m001-ep01-20201222-0075-e91,1.005508,0.001853,579556,1.004114,0.0018280000000000002,649567,1.005911,0.001847,676354,1.006425,0.0019510000000000003,690660,1.006664,0.0020800000000000003,699488,1.006868,0.00227,706021,1.005846,0.002432,712018,1.005867,0.0026100000000000003,716448,
25,9206.722079000001,80.0,1.5048,380.4,0.256,0.7040000000000001,4.18,29305.5,ogg2m001-ep01-20201222-0076-e91,1.00203,0.001916,542409,1.0,0.001842,638030,0.999927,0.001849,671440,0.999114,0.001948,687864,0.9986659999999999,0.002075,697594,0.9979620000000001,0.002262,704940,0.9980690000000001,0.002424,711119,0.9985870000000001,0.0026030000000000003,715753,
26,9206.723066,80.0,1.4982,377.9,0.483,1.001,3.75,35361.4,ogg2m001-ep01-20201222-0077-e91,0.9982620000000001,0.001876,561461,0.9976450000000001,0.001832,642197,0.998266,0.001843,672842,0.9983540000000001,0.001943,688753,0.997122,0.0020670000000000003,698062,0.996598,0.0022530000000000002,705278,0.996567,0.0024129999999999998,711603,0.997791,0.00259,716162,
27,9206.724052,80.0,1.4918,373.1,0.37200000000000005,0.5820000000000001,3.75,38244.0,ogg2m001-ep01-20201222-0078-e91,0.997167,0.001861,567614,0.9970979999999999,0.001825,643293,0.996605,0.001836,673261,0.9965370000000001,0.001935,689232,0.9962540000000001,0.002061,698728,0.994873,0.002245,705903,0.9933559999999999,0.002404,712397,0.99254,0.002578,716708,
28,9206.725037999999,80.0,1.4854,369.7,-0.614,1.081,3.98,34233.9,ogg2m001-ep01-20201222-0079-e91,0.996761,0.001864,565280,0.994268,0.0018219999999999998,643913,0.995036,0.001836,673116,0.994957,0.0019370000000000001,688260,0.994866,0.0020629999999999997,697692,0.994865,0.002251,704969,0.994066,0.002412,711604,0.994608,0.00259,716125,
29,9206.726024,80.0,1.4791,369.6,0.581,1.062,3.77,34104.6,ogg2m001-ep01-20201222-0080-e91,0.9968,0.0018809999999999999,555356,0.9941040000000001,0.001825,641012,0.9941959999999999,0.001834,672466,0.994022,0.0019329999999999998,687820,0.994793,0.002059,697006,0.995659,0.002245,703535,0.995642,0.002405,710360,0.9965940000000001,0.002581,714872,
30,9206.727009999999,80.0,1.473,370.9,0.159,0.43799999999999994,3.97,34319.5,ogg2m001-ep01-20201222-0081-e91,0.9925200000000001,0.0018670000000000002,561057,0.991025,0.0018219999999999998,640942,0.990635,0.001832,670709,0.9902040000000001,0.0019309999999999998,686250,0.990798,0.0020570000000000002,695646,0.991,0.0022429999999999998,702759,0.9894,0.0024010000000000004,708858,0.98931,0.002576,713523,
31,9206.727995000001,80.0,1.4669,370.4,-0.584,1.058,3.91,31909.6,ogg2m001-ep01-20201222-0082-e91,0.9930950000000001,0.0019039999999999999,541949,0.9915120000000001,0.0018390000000000001,631353,0.9919469999999999,0.0018440000000000002,666226,0.992517,0.001941,683768,0.992181,0.002065,693955,0.992584,0.002252,701521,0.993182,0.0024129999999999998,708110,0.993717,0.00259,712909,
32,9206.728979000001,80.0,1.4609,369.8,0.185,0.726,3.85,34511.3,ogg2m001-ep01-20201222-0083-e91,0.993149,0.001873,557581,0.9909389999999999,0.0018239999999999999,640375,0.990569,0.001834,672196,0.990084,0.001934,688591,0.990606,0.00206,698931,0.990359,0.002245,706194,0.9913139999999999,0.002408,712439,0.9911540000000001,0.002582,718648,
33,9206.729959,80.0,1.4549,369.5,0.40299999999999997,0.765,3.34,39491.8,ogg2m001-ep01-20201222-0084-e91,0.993426,0.001846,571504,0.9921040000000001,0.001816,643718,0.992633,0.00183,672181,0.992767,0.0019309999999999998,687309,0.9928,0.0020570000000000002,696483,0.994225,0.002247,703275,0.99567,0.0024100000000000002,709415,0.9968309999999999,0.002587,714245,
34,9206.730943999999,80.0,1.4491,369.6,0.008,1.01,3.31,46236.8,ogg2m001-ep01-20201222-0085-e91,0.9907459999999999,0.0018170000000000003,587308,0.9907459999999999,0.0018030000000000001,651807,0.9918959999999999,0.0018239999999999999,677469,0.992886,0.001928,691136,0.9926280000000001,0.002055,699878,0.991577,0.002241,706584,0.990574,0.0024,713065,0.991641,0.002577,717518,
35,9206.73193,80.0,1.4433,370.5,-0.28300000000000003,0.669,3.3,42158.8,ogg2m001-ep01-20201222-0086-e91,0.987419,0.001811,588350,0.9865459999999999,0.0017929999999999999,653609,0.9865510000000001,0.001811,678515,0.9865809999999999,0.001911,692147,0.986441,0.002037,700438,0.985722,0.0022199999999999998,707510,0.985093,0.002378,714221,0.9852719999999999,0.0025510000000000003,718558,
36,9206.732915,80.0,1.4376,372.8,0.147,1.183,3.18,49103.0,ogg2m001-ep01-20201222-0087-e91,0.991301,0.0017989999999999998,596505,0.9909950000000001,0.001794,654663,0.99144,0.0018149999999999998,678119,0.99231,0.001918,691059,0.991693,0.0020440000000000002,699207,0.99161,0.00223,705848,0.9914200000000001,0.0023899999999999998,711862,0.991561,0.002565,715802,
37,9206.733907,80.0,1.432,375.1,0.13,0.9279999999999999,3.22,48754.5,ogg2m001-ep01-20201222-0088-e91,0.98661,0.0018039999999999998,592630,0.987253,0.001795,654055,0.987298,0.0018149999999999998,678761,0.987873,0.001918,692191,0.988192,0.002046,700543,0.988346,0.002234,707455,0.987751,0.002393,714056,0.9866030000000001,0.0025670000000000003,718414,
38,9206.734892,80.0,1.4265,374.9,-0.55,0.9390000000000001,3.45,41414.2,ogg2m001-ep01-20201222-0089-e91,0.991966,0.001831,579673,0.991302,0.001807,647331,0.9909290000000001,0.0018210000000000001,674645,0.990985,0.0019210000000000002,689547,0.990758,0.002045,698341,0.991783,0.0022329999999999997,705591,0.9918520000000001,0.002392,711732,0.9921040000000001,0.0025670000000000003,716310,
39,9206.735877,80.0,1.421,371.8,0.5529999999999999,0.491,3.67,40075.4,ogg2m001-ep01-20201222-0090-e91,0.989116,0.001848,568579,0.987806,0.001816,641349,0.987701,0.00183,671127,0.9866459999999999,0.001929,687227,0.986563,0.0020559999999999997,697156,0.986405,0.0022429999999999998,704828,0.98639,0.0024059999999999997,711030,0.9853850000000001,0.0025800000000000003,716398,
40,9206.736862,80.0,1.4157,364.6,0.038,0.773,3.86,33198.5,ogg2m001-ep01-20201222-0091-e91,0.989023,0.0018739999999999998,551785,0.989014,0.001825,634145,0.989525,0.001834,666515,0.989973,0.0019329999999999998,682700,0.989784,0.002058,692700,0.98854,0.00224,700692,0.9887309999999999,0.0023989999999999997,708102,0.988535,0.002571,714115,
41,9206.737848,80.0,1.4103,364.3,0.153,0.915,3.6,37708.2,ogg2m001-ep01-20201222-0092-e91,0.9860639999999999,0.001847,564212,0.9852270000000001,0.001809,641039,0.986556,0.001823,670913,0.987419,0.001923,686494,0.9871850000000001,0.0020469999999999998,696056,0.9854149999999999,0.002228,703687,0.984872,0.0023870000000000002,710538,0.9846290000000001,0.002559,715688,
42,9206.738831,80.0,1.4051,364.4,-0.297,0.6940000000000001,3.71,35943.9,ogg2m001-ep01-20201222-0093-e91,0.9854569999999999,0.0018399999999999998,566799,0.9871129999999999,0.0018059999999999999,642616,0.98811,0.00182,671974,0.988964,0.0019199999999999998,687419,0.989627,0.002046,697065,0.9889690000000001,0.002228,704752,0.9881850000000001,0.0023870000000000002,711364,0.9882139999999999,0.002561,716145,
43,9206.739817,80.0,1.4,363.4,0.218,0.35200000000000004,3.27,43146.4,ogg2m001-ep01-20201222-0094-e91,0.9859450000000001,0.001813,584215,0.986626,0.001796,649171,0.987655,0.001812,675996,0.9875010000000001,0.001912,689825,0.9884940000000001,0.002038,698808,0.9901639999999999,0.002225,705652,0.988979,0.002381,712441,0.989449,0.002555,717174,
44,9206.740802,80.0,1.3948,358.3,0.005,0.7959999999999999,3.39,45558.7,ogg2m001-ep01-20201222-0095-e91,0.9883360000000001,0.001811,587397,0.9897309999999999,0.0017989999999999998,650992,0.991081,0.001818,677382,0.9910959999999999,0.0019199999999999998,691332,0.9910110000000001,0.002046,700171,0.9922620000000001,0.002232,707189,0.9906799999999999,0.002388,714176,0.990858,0.0025629999999999997,718188,
45,9206.741793000001,80.0,1.3898,352.7,-0.787,0.912,3.45,42654.4,ogg2m001-ep01-20201222-0096-e91,0.9879819999999999,0.001809,588774,0.9887950000000001,0.001794,652064,0.9891770000000001,0.001811,678170,0.989553,0.001911,692189,0.98962,0.002036,701029,0.989599,0.002221,708146,0.989057,0.002378,714687,0.9899899999999999,0.002552,719487,
46,9206.742776000001,80.0,1.3849,349.0,0.35100000000000003,0.4,3.29,39722.6,ogg2m001-ep01-20201222-0097-e91,0.987656,0.0018280000000000002,574512,0.988293,0.001802,645730,0.9898629999999999,0.001818,674379,0.990193,0.001916,689894,0.989799,0.002039,699604,0.9890260000000001,0.0022199999999999998,706896,0.9887729999999999,0.0023769999999999998,713458,0.989609,0.002549,717812,
47,9206.743767,80.0,1.38,345.6,0.008,0.542,3.57,40681.3,ogg2m001-ep01-20201222-0098-e91,0.9894959999999999,0.001838,570383,0.9896959999999999,0.0018039999999999998,644304,0.9888540000000001,0.001813,674415,0.9888299999999999,0.0019079999999999998,690486,0.988118,0.002029,699501,0.987088,0.002207,707729,0.9868899999999999,0.002362,714426,0.986917,0.0025329999999999997,718892,
48,9206.744759000001,80.0,1.3751,342.0,-0.33799999999999997,0.46,3.49,39204.2,ogg2m001-ep01-20201222-0099-e91,0.9891690000000001,0.001841,568556,0.989344,0.001807,642379,0.9887799999999999,0.001816,671889,0.989563,0.001913,687968,0.9891209999999999,0.002034,698305,0.989195,0.0022170000000000002,705968,0.9882989999999999,0.0023710000000000003,712853,0.989245,0.002543,717524,
49,9206.745742000001,80.0,1.3704,341.7,0.07200000000000001,0.374,3.53,40208.1,ogg2m001-ep01-20201222-0100-e91,0.991445,0.001841,569158,0.990734,0.0018039999999999998,643419,0.990765,0.001812,673558,0.9902139999999999,0.001906,689669,0.990072,0.002026,699688,0.989208,0.002205,708052,0.988374,0.002359,714759,0.987894,0.002527,719646,
50,9206.746725,80.0,1.3657,342.0,0.218,0.165,3.62,39113.0,ogg2m001-ep01-20201222-0101-e91,0.990561,0.0018239999999999999,577160,0.99065,0.001795,648069,0.991411,0.001807,675789,0.992031,0.0019039999999999999,689830,0.992344,0.002026,698927,0.992914,0.002206,706444,0.992826,0.00236,712802,0.992317,0.0025280000000000003,717489,
51,9206.747716,80.0,1.3611,334.5,-0.138,-0.013999999999999999,3.06,50307.6,ogg2m001-ep01-20201222-0102-e91,0.989808,0.001795,595466,0.989247,0.001782,656322,0.9907299999999999,0.0018,681229,0.99,0.0018960000000000001,694637,0.989031,0.002016,702731,0.988044,0.002195,710014,0.9872700000000001,0.0023469999999999997,716265,0.987973,0.002517,720758,
52,9206.748698000001,80.0,1.3565,326.8,-0.784,0.39399999999999996,2.97,51065.2,ogg2m001-ep01-20201222-0103-e91,0.984906,0.001771,607425,0.9863649999999999,0.0017699999999999999,661760,0.986419,0.0017870000000000002,683956,0.9869559999999999,0.0018850000000000002,696478,0.9874430000000001,0.0020050000000000003,704100,0.988383,0.002189,710086,0.989216,0.0023420000000000003,716485,0.99072,0.002512,720575,
53,9206.749681000001,80.0,1.352,326.8,0.32799999999999996,-0.152,3.71,36141.4,ogg2m001-ep01-20201222-0104-e91,0.9886219999999999,0.0018390000000000001,567370,0.987743,0.0017980000000000001,643357,0.988606,0.001807,673268,0.988293,0.0019010000000000001,688986,0.988224,0.00202,698708,0.9884440000000001,0.0021969999999999997,706435,0.9874360000000001,0.002349,713083,0.988109,0.002518,717873,
54,9206.75067,80.0,1.3476,326.1,-0.247,0.341,3.27,47119.7,ogg2m001-ep01-20201222-0105-e91,0.987191,0.0018030000000000001,587759,0.9885309999999999,0.0017870000000000002,651201,0.9885,0.001802,676602,0.989037,0.0018989999999999999,690667,0.9894430000000001,0.002022,698995,0.988842,0.002202,706824,0.9884930000000001,0.002356,713501,0.988786,0.002525,717811,
